zn,sname,fan,airloop,zonesys
corridorflr1,c1,hvacoperationschd,dx_ng_vav,vavel
corridorflr2,c2,hvacoperationschd,dx_ng_vav,vavel
corridorflr3,c3,hvacoperationschd,dx_ng_vav,vavel
corridorflr4,c4,hvacoperationschd,dx_ng_vav,vavel
employeeloungeflr1,l1,hvacoperationschd,dx_ng_cv,cv
exercisecenterflr1,e1,hvacoperationschd,dx_ng_cv,cv
frontloungeflr1,fl1,hvacoperationschd,dx_ng_cv,cv
frontofficeflr1,fo1,hvacoperationschd,dx_ng_cv,cv
laundryroomflr1,lr1,hvacoperationschd,dx_ng_cv,cv
mechanicalroomflr1,m1,hvacoperationschd,dx_ng_cv,cv
meetingroomflr1,mr1,hvacoperationschd,dx_ng_cv,cv
restroomflr1,rm1,hvacoperationschd,dx_ng_cv,cv
frontstairsflr1,fs1,hvacoperationschd,,uhel
frontstairsflr2,fs2,hvacoperationschd,,uhel
frontstairsflr3,fs3,hvacoperationschd,,uhel
frontstairsflr4,fs4,hvacoperationschd,,uhel
frontstorageflr4,fst4,hvacoperationschd,,uhel
frontstorageflr1,fst1,hvacoperationschd,,uhel
frontstorageflr2,fst2,hvacoperationschd,,uhel
frontstorageflr3,fst3,hvacoperationschd,,uhel
rearstairsflr1,rs1,hvacoperationschd,,uhel
rearstairsflr2,rs2,hvacoperationschd,,uhel
rearstairsflr3,rs3,hvacoperationschd,,uhel
rearstairsflr4,rs4,hvacoperationschd,,uhel
rearstorageflr1,rst1,hvacoperationschd,,uhel
rearstorageflr2,rst2,hvacoperationschd,,uhel
rearstorageflr3,rst3,hvacoperationschd,,uhel
rearstorageflr4,rst4,hvacoperationschd,,uhel
guestroom101,g11,hvacoperationschd,,ptac
guestroom102,g12,hvacoperationschd,,ptac
guestroom103,g13,hvacoperationschd,,ptac
guestroom104,g14,hvacoperationschd,,ptac
guestroom105,g15,hvacoperationschd,,ptac
guestroom201,g21,hvacoperationschd,,ptac
guestroom202_205,g22,hvacoperationschd,,ptac
guestroom206_208,g26,hvacoperationschd,,ptac
guestroom209_212,g29,hvacoperationschd,,ptac
guestroom213,g213,hvacoperationschd,,ptac
guestroom214,g214,hvacoperationschd,,ptac
guestroom215_218,g215,hvacoperationschd,,ptac
guestroom219,g219,hvacoperationschd,,ptac
guestroom220_223,g223,hvacoperationschd,,ptac
guestroom224,g224,hvacoperationschd,,ptac
guestroom301,g31,hvacoperationschd,,ptac
guestroom302_305,g35,hvacoperationschd,,ptac
guestroom306_308,g36,hvacoperationschd,,ptac
guestroom309_312,g312,hvacoperationschd,,ptac
guestroom313,g313,hvacoperationschd,,ptac
guestroom314,g314,hvacoperationschd,,ptac
guestroom315_318,g318,hvacoperationschd,,ptac
guestroom319,g319,hvacoperationschd,,ptac
guestroom320_323,g320,hvacoperationschd,,ptac
guestroom324,g324,hvacoperationschd,,ptac
guestroom401,g41,hvacoperationschd,,ptac
guestroom402_405,g42,hvacoperationschd,,ptac
guestroom406_408,g46,hvacoperationschd,,ptac
guestroom409_412,g49,hvacoperationschd,,ptac
guestroom413,g413,hvacoperationschd,,ptac
guestroom414,g414,hvacoperationschd,,ptac
guestroom415_418,g415,hvacoperationschd,,ptac
guestroom419,g419,hvacoperationschd,,ptac
guestroom420_423,g20,hvacoperationschd,,ptac
guestroom424,g424,hvacoperationschd,,ptac
